Abbreviation,Full name
12/AUD,CPI deflated EER+AC0-12/Australian dollar (EXR.M.E01.AUD.ERC0.A)
12/CAD,CPI deflated EER+AC0-12/Canadian dollar (EXR.M.E01.CAD.ERC0.A)
12/CHF,CPI deflated EER+AC0-12/Swiss franc (EXR.M.E01.CHF.ERC0.A)
12/DKK,CPI deflated EER+AC0-12/Danish krone (EXR.M.E01.DKK.ERC0.A)
12/EUR,CPI deflated EER+AC0-12/Euro (EXR.M.E01.EUR.ERC0.A)
12/GBP,CPI deflated EER+AC0-12/UK pound sterling (EXR.M.E01.GBP.ERC0.A)
12/HKD,CPI deflated EER+AC0-12/Hong Kong dollar (EXR.M.E01.HKD.ERC0.A)
12/JPY,CPI deflated EER+AC0-12/Japanese yen (EXR.M.E01.JPY.ERC0.A)
12/KRW,CPI deflated EER+AC0-12/Korean won (Republic) (EXR.M.E01.KRW.ERC0.A)
12/NOK,CPI deflated EER+AC0-12/Norwegian krone (EXR.M.E01.NOK.ERC0.A)
12/SEK,CPI deflated EER+AC0-12/Swedish krona (EXR.M.E01.SEK.ERC0.A)
12/SGD,CPI deflated EER+AC0-12/Singapore dollar (EXR.M.E01.SGD.ERC0.A)
12/USD,CPI deflated EER+AC0-12/US dollar (EXR.M.E01.USD.ERC0.A)
18/AUD,CPI deflated EER+AC0-18/Australian dollar (EXR.M.E02.AUD.ERC0.A)
18/BGN,CPI deflated EER+AC0-18/Bulgarian lev (EXR.M.E02.BGN.ERC0.A)
18/CAD,CPI deflated EER+AC0-18/Canadian dollar (EXR.M.E02.CAD.ERC0.A)
18/CHF,CPI deflated EER+AC0-18/Swiss franc (EXR.M.E02.CHF.ERC0.A)
18/CNY,CPI deflated EER+AC0-18/Chinese yuan renminbi (EXR.M.E02.CNY.ERC0.A)
18/CZK,CPI deflated EER+AC0-18/Czech koruna (EXR.M.E02.CZK.ERC0.A)
18/DKK,CPI deflated EER+AC0-18/Danish krone (EXR.M.E02.DKK.ERC0.A)
18/EUR,CPI deflated EER+AC0-18/Euro (EXR.M.E02.EUR.ERC0.A)
18/GBP,CPI deflated EER+AC0-18/UK pound sterling (EXR.M.E02.GBP.ERC0.A)
18/HKD,CPI deflated EER+AC0-18/Hong Kong dollar (EXR.M.E02.HKD.ERC0.A)
18/HUF,CPI deflated EER+AC0-18/Hungarian forint (EXR.M.E02.HUF.ERC0.A)
18/JPY,CPI deflated EER+AC0-18/Japanese yen (EXR.M.E02.JPY.ERC0.A)
18/KRW,CPI deflated EER+AC0-18/Korean won (Republic) (EXR.M.E02.KRW.ERC0.A)
18/NOK,CPI deflated EER+AC0-18/Norwegian krone (EXR.M.E02.NOK.ERC0.A)
18/PLN,CPI deflated EER+AC0-18/Polish zloty (EXR.M.E02.PLN.ERC0.A)
18/RON,CPI deflated EER+AC0-18/Romanian leu (EXR.M.E02.RON.ERC0.A)
18/SEK,CPI deflated EER+AC0-18/Swedish krona (EXR.M.E02.SEK.ERC0.A)
18/SGD,CPI deflated EER+AC0-18/Singapore dollar (EXR.M.E02.SGD.ERC0.A)
18/USD,CPI deflated EER+AC0-18/US dollar (EXR.M.E02.USD.ERC0.A)
41/AED,CPI deflated EER+AC0-41/United Arab Emirates dirham (EXR.M.E03.AED.ERC0.A)
41/ARS,CPI deflated EER+AC0-41/Argentine peso (EXR.M.E03.ARS.ERC0.A)
41/AUD,CPI deflated EER+AC0-41/Australian dollar (EXR.M.E03.AUD.ERC0.A)
41/BGN,CPI deflated EER+AC0-41/Bulgarian lev (EXR.M.E03.BGN.ERC0.A)
41/BRL,CPI deflated EER+AC0-41/Brazilian real (EXR.M.E03.BRL.ERC0.A)
41/CAD,CPI deflated EER+AC0-41/Canadian dollar (EXR.M.E03.CAD.ERC0.A)
41/CHF,CPI deflated EER+AC0-41/Swiss franc (EXR.M.E03.CHF.ERC0.A)
41/CLP,CPI deflated EER+AC0-41/Chilean peso (EXR.M.E03.CLP.ERC0.A)
