Date,12/AUD,12/CAD,12/CHF,12/DKK,12/EUR,12/GBP,12/HKD,12/JPY,12/KRW,12/NOK,12/SEK,12/SGD,12/USD,18/AUD,18/BGN,18/CAD,18/CHF,18/CNY,18/CZK,18/DKK,18/EUR,18/GBP,18/HKD,18/HUF,18/JPY,18/KRW,18/NOK,18/PLN,18/RON,18/SEK,18/SGD,18/USD,41/AED,41/ARS,41/AUD,41/BGN,41/BRL,41/CAD,41/CHF,41/CLP,41/CNY,41/COP,41/CZK,41/DKK,41/DZD,41/EUR,41/GBP,41/HKD,41/HUF,41/IDR,41/ILS,41/INR,41/ISK,41/JPY,41/KRW,41/MAD,41/MXN,41/MYR,41/NOK,41/NZD,41/PEN,41/PHP,41/PLN,41/RON,41/RUB,41/SAR,41/SEK,41/SGD,41/THB,41/TRY,41/TWD,41/UAH,41/USD,41/ZAR
1993-01-31,103.4873,121.0274,97.5938,100.3485,109.3428,88.8050,77.1912,99.8849,116.1956,104.5562,107.2902,104.8140,90.6209,104.9310,53.5828,123.7876,97.0036,93.0707,73.5670,101.0093,112.0722,88.2603,79.8865,97.0673,99.4757,123.2108,105.9061,79.8090,60.0790,109.1452,105.3044,91.0439,87.5480,94.5142,102.7506,60.1188,111.6781,122.8338,97.6781,86.8479,92.8145,76.3481,75.8130,101.3638,120.7118,112.9290,88.4700,78.6418,100.7110,158.1268,92.1154,93.1997,108.6680,96.9292,122.5133,93.3555,110.7315,125.7937,107.1422,93.2006,100.0455,101.6741,82.3439,61.9707,33.8093,103.9448,110.0960,100.9733,113.8447,99.7626,122.8854,135.3997,90.6904,132.3381
1993-02-28,104.8137,122.7954,97.0627,101.2241,108.7051,85.2100,77.5136,103.8765,115.8234,105.1317,105.6233,104.3526,90.8180,106.4293,55.2462,125.7900,96.3195,93.1076,75.5023,101.8868,111.1205,84.1559,80.1252,97.4987,103.8080,122.6913,106.4739,82.3372,60.8729,107.1095,104.8654,91.2386,88.7399,95.0088,104.2353,62.4918,111.5148,124.8769,97.0132,87.3764,93.2047,77.5864,77.9726,102.2058,123.4692,112.1010,84.3784,79.1161,101.4219,160.0724,93.9386,92.2188,109.5106,101.2042,122.3533,93.7351,111.9096,124.2339,107.7517,93.6361,99.7165,101.4505,85.1787,62.8759,30.9694,104.7402,108.0751,100.8627,114.1142,101.8834,119.9458,124.4663,90.9541,132.3209
1993-03-31,107.4042,123.5310,97.4096,101.0863,107.3722,86.6549,77.0273,106.4304,116.6769,105.3780,103.4888,103.7985,89.9998,109.3488,57.2878,126.6081,96.6403,94.3968,76.2110,101.6922,109.6012,85.7038,79.2611,96.8286,106.4807,123.3793,106.6846,82.9559,58.2139,104.5951,104.1655,90.2599,88.5782,94.6804,107.0390,64.9553,113.1441,125.6667,97.2787,85.6728,94.5581,76.8810,78.7355,101.9665,127.4436,110.6242,85.8860,78.4460,100.8335,161.1318,95.3732,90.2795,109.0218,103.7845,123.1434,93.7299,112.0445,124.7494,107.8945,94.7676,98.2135,100.6726,86.0162,60.2631,34.4353,104.5221,105.4750,100.3073,113.3472,103.0732,118.6518,80.1616,90.1076,131.1564
1993-04-30,105.7660,121.1391,98.3963,100.7066,107.7803,89.0610,76.0683,108.8571,114.4564,105.3532,104.3405,102.9746,88.2419,107.5156,58.3128,123.8580,97.7721,94.0094,75.8452,101.3622,110.1771,88.4163,78.2505,94.1613,109.2171,120.7778,106.7261,81.9084,60.1948,105.6076,103.2816,88.3067,86.9408,93.2415,105.5794,66.8701,113.4324,122.9709,98.5756,84.4469,94.4337,75.9214,78.6293,101.8554,127.8736,111.6591,88.7635,77.7499,98.4997,156.5801,95.4167,88.2017,109.3814,106.6891,120.9267,94.3365,111.9688,123.9263,108.1126,94.6899,96.7349,96.6637,85.4215,62.6718,36.1201,103.1162,106.6603,99.9223,112.3864,102.9896,116.4839,51.6455,88.5223,131.4775
1993-05-31,103.5479,120.2182,99.0275,100.0380,107.4357,88.9633,76.4051,110.0661,113.6980,104.7514,105.3350,103.2098,88.2337,104.9260,60.2835,122.7662,98.4141,95.1045,76.1423,100.5367,109.4892,88.2665,78.2498,94.2866,110.4216,119.6488,105.9877,82.1310,76.1887,106.7228,103.4392,88.1882,87.1158,93.8727,103.1374,68.7909,116.7807,121.9182,99.1931,84.0081,95.5549,75.9434,78.8255,101.0252,130.6599,110.9638,88.6354,77.8671,98.4664,155.9702,95.3927,81.6462,109.1935,107.9495,119.8888,94.3832,111.3908,123.9703,107.3307,95.6226,96.8333,93.3462,85.4796,79.1925,37.1729,102.9734,107.7463,100.2223,111.8907,102.7157,115.4486,57.1870,88.4676,131.0473
1993-06-30,100.5817,119.5254,99.0016,99.5043,105.8612,88.2497,77.2328,113.8858,113.7136,103.8183,105.1647,103.0168,88.5936,101.5008,63.7926,121.9529,98.3644,96.0928,76.8483,99.8620,107.6096,87.4271,78.8011,94.3437,114.4657,119.5108,104.8744,82.8581,73.6510,106.5253,103.1932,88.5272,87.6863,96.5070,99.6936,72.7590,112.3857,121.0601,99.0285,85.4009,96.5126,77.1377,79.4751,100.2121,127.8436,109.0065,87.6637,78.3704,98.4401,156.1864,95.8011,86.4079,107.4329,111.6677,119.7612,94.7617,112.6188,124.0781,106.1086,95.9172,97.2318,93.2301,86.1720,76.5233,37.9905,103.9592,107.4271,99.9038,111.9185,100.6865,116.6281,52.4935,88.6365,130.4931
1993-07-31,102.2742,119.7136,99.3112,98.3358,103.1521,89.8001,77.8930,115.4244,114.0991,102.7710,101.3499,104.2779,89.7535,103.2723,65.5931,122.1342,98.6328,98.1818,77.9014,98.4045,104.4375,89.0674,79.0242,93.9916,115.8182,119.7520,103.5983,84.3417,77.2790,102.1110,104.4604,89.7054,88.9044,98.0464,101.1338,72.4208,113.4240,121.1526,98.8300,86.7467,98.1412,78.0293,79.7726,98.3154,142.1928,104.9184,88.9287,78.4734,96.9812,158.2041,95.4017,87.4916,100.7204,112.6373,119.5013,94.4717,112.8815,125.8398,104.2838,97.8845,98.7066,93.3299,86.7119,79.5034,50.6698,104.9585,102.5045,100.7019,113.0926,99.8085,113.6738,58.7798,89.4429,129.2430
1993-08-31,101.6196,117.5838,100.4840,95.1677,102.6694,89.6366,77.7643,119.0321,113.3331,102.4922,100.4578,103.9941,89.5476,102.5056,66.1644,119.6454,99.8788,98.6883,78.9326,94.7607,103.7316,88.8160,78.7054,95.6935,119.7108,118.7515,103.2189,85.4283,81.9783,101.0264,104.1450,89.4001,88.6046,97.7824,100.3778,70.7617,115.9178,118.5579,99.7036,87.0758,98.2467,77.9289,80.0809,94.3902,156.5189,103.3349,88.4385,78.0868,97.6915,156.2103,94.4630,88.9865,101.6724,116.1620,118.1526,95.3070,114.0212,125.3527,103.4499,97.9932,98.8221,91.8416,86.8701,83.6154,68.6764,104.1205,101.0245,100.3450,112.2174,96.6177,110.4195,68.3926,88.8971,128.8445
1993-09-30,97.2819,116.1404,102.6697,96.0687,105.1104,89.5598,78.0989,115.7981,113.1955,103.7296,99.2757,104.0189,88.8415,97.6728,66.1819,118.0139,102.4192,97.6838,79.4921,95.9525,106.6701,88.7867,79.2565,96.4771,116.3339,118.6431,104.7353,78.8172,82.1969,99.7440,104.2431,88.6747,87.6562,96.6639,95.7604,69.2322,116.4432,116.8743,102.1475,86.5312,96.9231,77.8151,80.2116,95.5481,151.4921,105.6843,88.4338,78.5196,97.8458,155.5658,93.0520,86.6373,102.6684,112.9068,117.6925,95.0685,114.1333,124.8668,104.7818,98.0886,98.6330,91.2788,79.5970,83.4044,82.6936,102.5587,99.6470,100.3639,112.0119,96.1439,108.9172,88.2338,88.1341,124.9576
1993-10-31,99.0475,115.8605,102.0902,97.0453,104.6949,88.9086,79.2326,113.9576,113.7985,103.1105,100.0577,106.0680,89.7377,99.6029,66.9767,117.6875,101.7465,99.0825,80.3608,97.0140,106.1074,88.0591,80.0855,94.1971,114.2031,119.1157,104.0241,79.0128,84.7630,100.5816,106.4434,89.5600,88.2055,97.1661,97.4875,69.3808,116.0686,116.5131,101.3458,87.3400,98.0901,78.7748,80.8537,96.4855,146.6999,104.8353,87.5901,79.1812,95.1983,156.8683,93.4097,87.7280,102.8015,110.7646,117.9488,94.7460,114.3057,125.2087,103.9558,98.2477,98.6261,89.2239,79.4635,85.6390,83.2944,102.6886,100.3677,102.2435,111.8154,97.3949,110.6281,112.2488,88.7880,126.9808
